Using device: cuda
Class names: ['glioma', 'meningioma', 'notumor', 'pituitary']
Train samples: 5141, Val samples: 571, Test samples: 1311
Showing sample training batch...

================================================================================
Training model: SimpleCNN
================================================================================
Epoch 49/500 | train_loss: 0.3700 train_acc: 0.8654 | val_loss: 0.2949 val_acc: 0.8932 | time: 25.5s
Epoch 50/500 | train_loss: 0.3725 train_acc: 0.8666 | val_loss: 0.2938 val_acc: 0.8897 | time: 25.7s
Epoch 51/500 | train_loss: 0.3620 train_acc: 0.8689 | val_loss: 0.3212 val_acc: 0.8739 | time: 24.6s
Epoch 52/500 | train_loss: 0.3772 train_acc: 0.8648 | val_loss: 0.3063 val_acc: 0.8844 | time: 23.7s
Epoch 53/500 | train_loss: 0.3788 train_acc: 0.8572 | val_loss: 0.3031 val_acc: 0.8897 | time: 27.3s
Epoch 54/500 | train_loss: 0.3664 train_acc: 0.8685 | val_loss: 0.3044 val_acc: 0.8757 | time: 24.7s
Epoch 55/500 | train_loss: 0.3802 train_acc: 0.8582 | val_loss: 0.2947 val_acc: 0.8827 | time: 23.7s
Epoch 56/500 | train_loss: 0.3764 train_acc: 0.8599 | val_loss: 0.3189 val_acc: 0.8809 | time: 24.2s
Epoch 57/500 | train_loss: 0.3636 train_acc: 0.8656 | val_loss: 0.3027 val_acc: 0.8844 | time: 26.4s
Epoch 58/500 | train_loss: 0.3636 train_acc: 0.8660 | val_loss: 0.3056 val_acc: 0.8879 | time: 26.1s
Epoch 59/500 | train_loss: 0.3666 train_acc: 0.8668 | val_loss: 0.2990 val_acc: 0.8949 | time: 22.3s
Epoch 60/500 | train_loss: 0.3665 train_acc: 0.8656 | val_loss: 0.2972 val_acc: 0.8897 | time: 24.4s
Epoch 61/500 | train_loss: 0.3822 train_acc: 0.8547 | val_loss: 0.2941 val_acc: 0.8949 | time: 26.2s
Epoch 62/500 | train_loss: 0.3663 train_acc: 0.8650 | val_loss: 0.3076 val_acc: 0.8844 | time: 26.0s
Epoch 63/500 | train_loss: 0.3752 train_acc: 0.8598 | val_loss: 0.3007 val_acc: 0.8844 | time: 24.3s
